,Attempt ID,Time
0,47,00:31:49.55
1,54,00:35:57.99
2,66,00:29:33.57
3,68,00:34:05.34
4,72,00:28:01.53
5,79,00:29:11.93
6,110,00:27:16.68
7,192,00:29:41.35
8,197,00:30:04.14
9,198,00:31:14.59
10,202,00:37:57.96
11,204,00:33:49.88
12,276,00:31:15.59
13,277,00:29:40.36
14,397,00:30:37.58
15,500,00:27:34.87
16,589,00:28:22.53
17,697,00:27:42.63
18,946,00:31:22.69
19,947,00:31:21.63
20,948,00:29:34.01
21,949,00:32:28.08
22,951,00:29:22.98
23,952,00:29:31.00
24,953,00:39:19.89
25,954,00:30:15.80
26,955,00:28:47.84
27,956,00:35:37.08
28,957,00:29:45.95
29,959,00:30:25.73
30,983,00:37:22.82
31,984,00:33:00.57
32,985,00:28:21.70
33,986,00:28:54.42
34,987,00:28:15.41
35,988,00:28:07.23
36,989,00:30:23.19
37,990,00:30:25.58
38,991,00:29:23.02
39,992,00:29:27.85
40,993,00:29:48.02
41,994,00:29:55.51
42,995,00:28:11.60
43,996,00:28:17.59
44,1007,00:30:37.66
45,1009,00:29:02.73
46,1030,00:29:52.04
47,1061,00:27:08.49
48,1068,00:28:05.73
49,1069,00:29:58.04
50,1070,00:28:18.61
51,1082,00:29:21.47
52,1084,00:32:29.17
53,1108,00:27:15.38
54,1261,00:26:47.86
55,1330,00:38:27.39
56,1331,00:29:58.15
57,1380,00:51:35.20
58,1460,00:27:04.77
59,1616,00:26:33.47
60,1779,00:26:08.17
61,2044,00:32:43.67
62,2046,00:27:01.22
63,2049,00:27:58.34
64,2050,00:27:34.70
65,2051,00:29:21.83
